,total
0,0.0410151656717062
1,0.040605681017041206
2,0.04030720144510269
3,0.03993976153433323
4,0.03945172876119614
5,0.03887424729764462
6,0.03843837566673756
7,0.03776057660579681
8,0.03686908930540085
9,0.03677459470927715
10,0.036263486742973326
11,0.03523437902331352
12,0.03443620726466179
13,0.03512589186429978
14,0.034452801942825316
15,0.033378370106220245
16,0.032634313032031056
17,0.032530678808689116
18,0.03238024711608887
19,0.03242718912661076
20,0.03178720511496067
21,0.03150421343743801
22,0.031587591767311095
23,0.0310000978410244
24,0.030661961063742638
25,0.03057926371693611
26,0.03023441545665264
27,0.030453752726316452
28,0.030177739262580872
29,0.029699500650167465
30,0.02933121509850025
31,0.029304391145706175
32,0.02927934117615223
33,0.02908869907259941
34,0.029783787578344344
35,0.029290489107370376
36,0.02886761799454689
37,0.028847033530473708
38,0.02879445403814316
39,0.028536323457956314
