,total
147,0.023589738458395005
148,0.02366610523313284
149,0.023655965924263
150,0.02374027408659458
151,0.02359596323221922
152,0.02365299966186285
153,0.023736728355288506
154,0.023580463230609895
155,0.02357323169708252
156,0.02360557820647955
157,0.02367697488516569
158,0.023754940181970597
159,0.023715986311435698
160,0.023545365780591965
161,0.02355787381529808
162,0.02360369749367237
163,0.023579979501664638
164,0.02376598808914423
165,0.023747500590980054
166,0.02372015081346035
167,0.023517821356654166
168,0.023500856757164002
169,0.023522756807506085
170,0.02339472696185112
171,0.023440116457641123
172,0.02333491276949644
173,0.02343116085976362
174,0.023423909209668636
175,0.02350701969116926
176,0.023391124419867994
177,0.02357166800647974
178,0.023525251448154448
179,0.023396879248321057
180,0.023394104838371278
181,0.02332671731710434
182,0.023319325037300588
183,0.02333545684814453
184,0.02361416146159172
185,0.023624454252421857
186,0.023477071337401866
187,0.02362124212086201
188,0.023480746336281298
189,0.023411357402801515
190,0.0233508825302124
191,0.02331627272069454
192,0.02342795766890049
193,0.023401721753180026
194,0.02337214108556509
195,0.0233627924695611
196,0.023358256742358207
197,0.023377061076462268
198,0.02334178499877453
199,0.02340518869459629
200,0.023327324725687503
201,0.023398043774068355
202,0.023403138853609562
203,0.023308439925312997
204,0.02334787752479315
205,0.023235521651804446
206,0.023187123984098435
207,0.023723533004522325
208,0.023485034890472888
209,0.0233430415391922
210,0.023498012870550155
211,0.023375435173511504
212,0.023357418552041053
213,0.02333106882870197
214,0.02334898505359888
215,0.023268642276525496
216,0.023251507617533206
217,0.023406203649938107
218,0.023706187307834626
219,0.023403778672218323
220,0.023306358233094217
221,0.02322251256555319
222,0.023138899728655814
223,0.02305347453802824
224,0.02305641658604145
225,0.023318499512970447
226,0.02335346434265375
227,0.023165691271424295
228,0.023201548494398594
229,0.023154811188578605
230,0.02330105397850275
231,0.023205918632447718
232,0.023203524947166442
233,0.023116045445203782
234,0.02307261899113655
235,0.023097697459161282
236,0.02306117471307516
237,0.023169978708028793
238,0.023341313190758228
239,0.023226382210850716
240,0.023204153589904308
241,0.023175085335969924
242,0.023143895156681537
243,0.023155706003308296
244,0.02306331004947424
245,0.02305583991110325
246,0.02302801012992859
247,0.023151844367384912
248,0.02312471196055412
249,0.023079520277678966
250,0.023020978830754758
251,0.023046911880373954
252,0.023306066542863844
253,0.023401366360485554
254,0.02346317581832409
255,0.023293199203908443
256,0.02307903002947569
257,0.023020954988896846
258,0.022992990911006927
259,0.0230288652703166
260,0.022949153929948805
261,0.022904845140874385
262,0.0230786656960845
263,0.023083398304879665
264,0.02300809770822525
265,0.02296865601092577
266,0.023044059984385967
267,0.022941469587385653
268,0.023014248907566072
269,0.023195471055805682
270,0.02316255643963814
271,0.022984370589256287
272,0.02300805728882551
273,0.023036267980933188
274,0.023090690933167936
275,0.023128944635391235
276,0.02297470550984144
277,0.02318412847816944
278,0.023169024474918844
279,0.02305682059377432
280,0.02300910037010908
281,0.02311075460165739
282,0.02319951541721821
283,0.023075720854103567
284,0.023067923821508886
285,0.023034259118139742
286,0.02289296519011259
287,0.022985659539699554
288,0.02299630120396614
289,0.02299901396036148
290,0.02304419782012701
291,0.02287125214934349
292,0.022961156256496907
293,0.023019840940833092
294,0.022970789484679698
295,0.022844955883920194
296,0.022865059040486812
297,0.022915426827967166
298,0.02299116998910904
299,0.02299644649028778
300,0.023366715759038925
301,0.02330762054771185
302,0.02314231526106596
303,0.022962986305356026
304,0.022818101570010185
305,0.02288124766200781
