,total
0,0.0410151656717062
1,0.040605681017041206
2,0.04030720144510269
3,0.03993976153433323
4,0.03945172876119614
5,0.03887424729764462
6,0.03843837566673756
7,0.03776057660579681
8,0.03686908930540085
9,0.03677459470927715
10,0.036263486742973326
11,0.03523437902331352
12,0.03443620726466179
13,0.03512589186429978
14,0.034452801942825316
15,0.033378370106220245
16,0.032634313032031056
17,0.032530678808689116
18,0.03238024711608887
19,0.03242718912661076
20,0.03178720511496067
21,0.03150421343743801
22,0.031587591767311095
23,0.0310000978410244
24,0.030661961063742638
25,0.03057926371693611
26,0.03023441545665264
27,0.030453752726316452
28,0.030177739262580872
29,0.029699500650167465
30,0.02933121509850025
31,0.029304391145706175
32,0.02927934117615223
33,0.02908869907259941
34,0.029783787578344344
35,0.029290489107370376
36,0.02886761799454689
37,0.028847033530473708
38,0.02879445403814316
39,0.028536323457956314
40,0.028044167533516885
41,0.027586496621370315
42,0.02740747407078743
43,0.02801743596792221
44,0.027680874243378638
45,0.02756372094154358
46,0.027752698957920076
47,0.028142772242426874
48,0.028095924854278566
49,0.02796436920762062
50,0.027349048852920534
51,0.026736928150057793
52,0.026466845348477364
53,0.026191255450248717
54,0.026541876047849654
55,0.02619522251188755
56,0.026037945598363876
57,0.027442411705851554
58,0.02771204449236393
59,0.02677222415804863
60,0.02638528384268284
61,0.02609487697482109
62,0.02591875530779362
63,0.025856133177876474
64,0.02576249074190855
65,0.02555861007422209
66,0.025309143587946892
67,0.025242235139012338
68,0.025160001032054423
69,0.025244972109794615
