,total
0,0.041138496994972226
1,0.04089371077716351
2,0.040706139802932736
3,0.040440721064805986
4,0.040168356522917746
5,0.03980576172471047
6,0.03968615978956223
7,0.03910506293177605
8,0.03897513411939144
9,0.038349222764372824
10,0.037388883903622626
11,0.036796972155570984
12,0.036772891879081726
13,0.03591027557849884
14,0.03473423644900322
15,0.03409706093370914
16,0.033069999888539314
17,0.03231327198445797
18,0.03177967593073845
19,0.03166208006441593
20,0.030932726711034773
21,0.030214425921440125
22,0.02981063276529312
23,0.029077628627419472
24,0.02865373231470585
25,0.028309624269604684
26,0.02813958190381527
27,0.028457484021782876
28,0.03318872414529324
29,0.032969404384493826
30,0.03086235821247101
31,0.029882553964853287
32,0.029072599485516548
33,0.028357690200209618
34,0.027880214899778367
35,0.027515681833028792
36,0.027278491482138633
37,0.027124456129968166
38,0.027690086141228677
39,0.027343320287764074
